sample_idx,vacancy_concentration_pred,vacancy_concentration_pred_platt,vacancy_concentration_std,vacancy_concentration_true,dopant_label,vacancy_concentration_pred_per_dopant_platt,_platt_bucket
208,16.88413887023926,16.80187513224218,0.0522791743278503,,undoped,16.816197154407106,global_fallback
209,17.02981643676758,16.992949451187723,0.0641595594584941,,undoped,17.014258562866456,global_fallback
210,17.665721893310547,17.79155824861443,0.1026935562491417,,undoped,17.87882771631535,global_fallback
211,17.70901107788086,17.84637104108483,0.1010231532156467,,undoped,17.937683153507088,global_fallback
212,17.638913345336913,17.75802939622431,0.0895246490836143,,undoped,17.84237914776121,global_fallback
213,17.340570068359376,17.394094028618575,0.0768906351178884,,undoped,17.436755337240864,global_fallback
214,17.345317840576172,17.400822699514286,0.0692324381321668,17.477121353149414,Si,17.42489375331027,per_dopant:Si
215,16.920661544799806,16.840591442210496,0.0799193158745765,,undoped,16.865852928707525,global_fallback
216,16.919303131103515,16.838361408750767,0.0692294664680957,,undoped,16.864006046333184,global_fallback
217,16.91792869567871,16.838053285787595,0.0768965989351272,,undoped,16.862137381015934,global_fallback
218,16.918164443969726,16.838003920268328,0.0831570316106081,,undoped,16.86245790146169,global_fallback
219,16.901665496826173,16.81808420415333,0.0714143045246601,,undoped,16.84002613803219,global_fallback
220,17.730828857421876,17.856571555865123,0.1899637594819068,,Sn,18.522395665780206,per_dopant:Sn
221,18.07532730102539,18.29225706242431,0.1976005226373672,,Sn,19.244402535889453,per_dopant:Sn
222,18.11207656860352,18.34089479329463,0.2063614591956138,18.988000869750977,Sn,19.321422401016715,per_dopant:Sn
223,15.886605072021483,15.554811541404383,0.0991970539093017,,Mg,15.617807936825312,per_dopant:Mg
224,15.549638175964356,15.13274489157563,0.1034789964556694,,Mg,15.202259766848552,per_dopant:Mg
225,17.121631240844728,17.126614477937487,0.0959104090929031,,Si,17.15376278765033,per_dopant:Si
226,17.472459030151366,17.524623271611663,0.0980361580848693,,Ta,17.616069930113916,global_fallback
227,16.271168518066407,16.025476618879445,0.0899116113781929,,Mg,16.092052256115455,per_dopant:Mg
228,17.763778305053712,17.896093318237085,0.1557133674621582,,Sn,18.59145179070096,per_dopant:Sn
229,18.08094787597656,18.298914596990176,0.1570889517664909,,Sn,19.256182251600972,per_dopant:Sn
230,18.151231384277345,18.390524959935306,0.2058473527431488,18.988000869750977,Sn,19.403483862945695,per_dopant:Sn
