sample_idx,element,n_within,n_cross,sigma_reg,sigma_rank,y_reg,y_rank,y_fused,alpha
89,Ta,0,12,0.6646889447657285,31622.776601683792,6.5899588851636475,8.089958885163647,6.5899588858263645,4.4181139309858035e-10
90,Sn,11,0,0.2,31622.776601683792,3.1669399222253825,1.6669399222253825,3.1669399221653824,3.999999999840001e-11
91,Sn,11,0,0.2,31622.776601683792,3.167694455967165,1.667694455967165,3.167694455907165,3.999999999840001e-11
92,Sn,11,0,0.2,31622.776601683792,3.1682163196238076,1.6682163196238076,3.1682163195638076,3.999999999840001e-11
93,Sn,11,0,0.2,31622.776601683792,3.1693084285362234,1.6693084285362234,3.1693084284762234,3.999999999840001e-11
94,Sn,8,0,0.2,31622.776601683792,3.169239848793766,4.669239848793766,3.1692398488537665,3.999999999840001e-11
95,Sn,11,0,1.3794370565753697,31622.776601683792,13.611300567913643,12.111300567913643,13.611300565059373,1.9028465894324948e-09
96,Sn,11,0,0.33339801344701986,31622.776601683792,7.59259315413871,6.09259315413871,7.592593153971977,1.1115423535806397e-10
97,Sn,11,0,0.42266062752969885,31622.776601683792,7.523654385769628,6.023654385769628,7.523654385501666,1.7864200603188587e-10
98,Sn,11,0,0.3597045919202728,31622.776601683792,7.517741496741889,6.017741496741889,7.517741496547808,1.2938739343178892e-10
99,Sn,11,0,0.28833682881178496,31622.776601683792,7.49739100617939,5.99739100617939,7.4973910060546824,8.313812684232465e-11
100,Sn,11,0,0.4395022997864379,31622.776601683792,7.707315633312341,6.207315633312341,7.707315633022597,1.9316227148025626e-10
101,Sn,11,0,0.2811935899276396,31622.776601683792,7.667328319918207,6.167328319918207,7.667328319799602,7.906983501014151e-11
102,Sn,11,0,0.4831713596635079,31622.776601683792,-1.6481935594393193,-3.1481935594393193,-1.6481935597895012,2.3345456274458186e-10
103,Sn,11,0,0.4321500917472165,31622.776601683792,-1.4482880725574137,0.05171192744258635,-1.4482880722772833,1.8675370176225075e-10
104,Zn,1,12,1.8585856871730848,1.9931002813307295,15.542774954358624,14.042774954358624,14.845096483302534,0.46511898070406055
105,Zn,2,12,0.2676173355514269,31622.776601683792,2.0483133528179533,3.5483133528179533,2.0483133529253816,7.161903828251574e-11
106,Zn,2,12,0.2935415490706089,31622.776601683792,1.9189226374962303,3.4189226374962303,1.9189226376254802,8.616664102334802e-11
107,Zn,2,12,0.3790602014470153,31622.776601683792,2.002851716283347,3.502851716283347,2.002851716498877,1.43686636300406e-10
108,Zn,1,12,0.30121100256235595,31622.776601683792,1.9489613475662064,0.4489613475662064,1.9489613474301142,9.072806805638801e-11
109,Zn,1,12,0.302757079638983,31622.776601683792,2.106931183096753,0.6069311830967532,2.1069311829592605,9.166184926312362e-11
110,Zn,2,12,0.3088098172160101,31622.776601683792,1.9394622703621278,0.4394622703621278,1.9394622702190825,9.536350319989137e-11
111,Si,0,12,0.2,31622.776601683792,1.704575869572834,3.204575869572834,1.7045758696328337,3.999999999840001e-11
