sample_idx,vacancy_concentration_pred,vacancy_concentration_pred_platt,vacancy_concentration_std,vacancy_concentration_true,dopant_label,method,atmosphere,concentration_at%,doi,element,is_sputter,vacancy_concentration_pred_rank,vacancy_concentration_pred_refined,vacancy_concentration_alpha
77,1.427969551086426,4.571530865399487,0.57613470479846,,F,RF magnetron sputtering,,1.25,10.1088/1674-4926/37/4/042002,F,True,,4.571530865399487,0.0
78,1.3868513107299805,4.537776792980734,0.437497366592288,,F,RF magnetron sputtering,,1.67,10.1088/1674-4926/37/4/042002,F,True,,4.537776792980734,0.0
79,1.2880931854248048,4.456705986336435,0.5082026988267898,,F,RF magnetron sputtering,,2.5,10.1088/1674-4926/37/4/042002,F,True,,4.456705986336435,0.0
80,1.4279300689697263,4.571498454425312,0.6139999483712018,,F,RF magnetron sputtering,,5.0,10.1063/1.4803802,W,True,,4.571498454425312,0.0
81,9.22568645477295,10.972697325498551,1.6828750111162665,,W,RF magnetron sputtering,,11.0,10.1063/1.4803802,W,True,12.472697325498551,10.972697328361267,1.9084774657950527e-09
82,9.788324928283693,11.434568738667656,1.8661658391356468,,W,RF magnetron sputtering,,1.5,10.1016/j.optmat.2019.109223,Ti,True,12.934568738667656,11.434568742187917,2.346841629587987e-09
83,1.4971101760864258,4.628288587595204,1.4102382443845272,,Ti,RF magnetron sputtering,,5.0,10.1016/j.optmat.2019.109223,Ti,True,6.128288587595204,4.628288589605498,1.3401959144654005e-09
84,1.6984170913696288,4.793541967554104,1.599991804920137,,Ti,RF magnetron sputtering,Ar,10.0,10.1007/s11082-022-03851-0,Al,True,6.293541967554104,4.793541970141781,1.7251180911897201e-09
85,-1.4738876342773437,2.1893886157666227,1.5497110434807837,,Al,RF magnetron sputtering,,0.5,10.1016/j.optmat.2022.112491,Ta,True,,2.1893886157666227,0.0
86,3.498913192749024,6.271573986162026,0.8071230764500796,,Ta,RF magnetron sputtering,,1.0,10.1016/j.optmat.2022.112491,Ta,True,7.771573986162026,6.271573986820523,4.3899830409271354e-10
87,3.961269760131836,6.651123716973382,0.7604087946470827,,Ta,RF magnetron sputtering,,1.3,10.1016/j.optmat.2022.112491,Ta,True,8.151123716973382,6.65112371755786,3.896525977964593e-10
88,4.019939804077149,6.699286111447812,0.8836201249621809,,Ta,RF magnetron sputtering,,1.5,10.1016/j.optmat.2022.112491,Ta,True,8.199286111447812,6.699286112237046,5.261559802491613e-10
89,3.8867605209350575,6.5899588851636475,0.809704958088696,,Ta,RF magnetron sputtering,,0.139,10.1007/s40843-025-3509-0,Sn,True,8.089958885163647,6.5899588858263645,4.4181139309858035e-10
90,-0.283062744140625,3.1669399222253825,0.0062253697775304,,Sn,RF magnetron sputtering,,0.199,10.1007/s40843-025-3509-0,Sn,True,1.6669399222253825,3.1669399221653824,3.999999999840001e-11
91,-0.2821435928344726,3.167694455967165,0.0050817883573472,,Sn,RF magnetron sputtering,,1.0,10.1007/s40843-025-3509-0,Sn,True,1.667694455967165,3.167694455907165,3.999999999840001e-11
92,-0.2815078735351562,3.1682163196238076,0.0057472019456326,,Sn,RF magnetron sputtering,,1.14,10.1007/s40843-025-3509-0,Sn,True,1.6682163196238076,3.1682163195638076,3.999999999840001e-11
93,-0.2801774978637695,3.1693084285362234,0.0063890230841934,,Sn,RF magnetron sputtering,,1.39,10.1007/s40843-025-3509-0,Sn,True,1.6693084285362234,3.1693084284762234,3.999999999840001e-11
94,-0.2802610397338867,3.169239848793766,0.0066961280070245,,Sn,RF magnetron sputtering,N2,5.0,10.1088/1674-4926/44/6/062805,Sn,True,4.669239848793766,3.1692398488537665,3.999999999840001e-11
