doi,element,conc_at,atmosphere,T_C,method,source,pred_PDR,meas_PDR,pred_dark,meas_dark,pred_VO,meas_VO,meas_VO_log10,pred_n,pred_mu,pred_sigma,pred_Eg,pred_dEg,meas_n,meas_mu,meas_sigma
DOI:10.1016/j.apsusc.2023.155000,Mg,1.0,O2,,ALD,exp,32.430685246219035,6.986771734266245,3.7586073855349413,4.9e-06,1.3456769037707154e+20,,,7.213980588937609e-45,37.85617784565965,2.82286707446786e-62,4.903044196720766,0.0007534964370623574,,,
DOI:10.1016/j.surfcoat.2025.131940,Mg,0.72,Ar,800.0,RF magnetron sputtering,exp,32.42959989760544,,3.6834853974691963,,1.3423167159009065e+20,,,1.3187692894975307e-43,37.85626180898917,5.160422345269102e-61,4.903044196720766,0.0015003372683955092,,,
DOI:10.1016/j.surfcoat.2025.131940,Mg,1.45,Ar,800.0,RF magnetron sputtering,exp,32.735920215360956,,3.676551351062626,,2.716585169418009e+20,,,1.7244701361514815e-43,37.84048493534027,6.745141530316066e-61,4.903044196720766,0.0015003372683955092,,,
DOI:10.1007/s13391-017-7072-y,Zn,5.0,Ar,800.0,RF magnetron sputtering,exp,33.27053499024448,,3.5464709156304948,,9.29024362193631e+20,,,2.641866171867224e-41,37.831724130664185,1.0331078074524331e-58,4.903044196720766,0.0015003372683955092,,,
GOX2023,Si,0.0055,O2,700.0,MBE on Fe:Ga₂O₃,exp,20.968984837946397,,0.2874175154559486,,21127877694.732033,2.0000000000000003e+18,18.30102999566398,148456090193981.94,51.34615768331751,0.0007879246080386016,4.902618895963598,7.524942659864671e-06,,,
ResearchGate 2022 Mg-doped β-Ga2O3-δ,Mg,1.5,O2,650.0,PLD on Al₂O₃,exp,32.687012025665545,4.842609239610562,3.7365967876275166,,2.4309554200572835e+20,,,1.6901947173959508e-44,37.84217084535968,6.611370226445922e-62,4.903044196720766,0.00030930776874313234,,,
DOI:10.1016/j.apsusc.2019.144975,Sn,2.0,N2,1250.0,CVD tube furnace,exp,18.524941849073794,1.0,-0.008611590838726535,1.0,154303180287050.7,,,9.887934844047464e+18,37.869524469958925,50.819057454043474,4.933993253898644,0.03263022881850524,,,
J.Semicond.44(6):062805 2023,Sn,5.0,Ar,,RF magnetron sputtering,exp,21.847583227300973,0.6989700043360189,0.19136386388946747,,131642063777.87067,,,6098326061890585.0,37.87728882027897,0.023876365713937787,4.901830967787387,0.0002864772830397514,,,
J.Semicond.44(6):062805 2023,Sn,5.0,N2,900.0,RF magnetron sputtering+N₂,exp,21.03659141327119,3.3010299956639813,0.13745054262034184,,1144257430972.3943,,,4.905535452332514e+16,37.865585152775736,0.19200378354973913,4.901333203202995,1.2711011449251155e-05,,,
J.Semicond.44(6):062805 2023,Sn,5.0,air,900.0,RF magnetron sputtering+air,exp,22.117815836572554,2.6989700043360187,0.20182339547404826,,336545847420.8827,,,4069163781992317.5,37.865585383952336,0.01592680053763651,4.901944563952902,0.00014937459797321058,,,
